Date,Price,High,Low,Close,Volume,Adj Close
15/04/2013,19.67,19.94,19.44,19.57,98025876,19.57
16/04/2013,19.68,19.92,19.62,19.85,69610320,19.85
17/04/2013,19.69,19.79,19.47,19.58,81398520,19.58
18/04/2013,19.65,19.66,19.05,19.17,132767100,19.17
19/04/2013,19.25,20.11,19.18,20.02,231895872,20.02
22/04/2013,20.04,20.12,19.39,20.02,115220664,20.02
23/04/2013,20.05,20.41,20.03,20.22,91600308,20.22
24/04/2013,20.22,20.47,20.22,20.36,73090836,20.36
25/04/2013,20.43,20.43,20.21,20.25,79608312,20.25
26/04/2013,20.21,20.21,19.93,20.06,99408492,20.06
29/04/2013,20.1,20.59,20.1,20.5,91939968,20.5
30/04/2013,20.5,20.71,20.46,20.63,92175732,20.63
01/05/2013,20.6,20.64,20.43,20.53,58141800,20.53
02/05/2013,20.52,20.88,20.5,20.76,80651268,20.76
03/05/2013,20.94,21.19,20.92,21.16,100403496,21.16
06/05/2013,21.23,21.57,21.23,21.56,85566348,21.56
07/05/2013,21.6,21.62,21.29,21.45,78281640,21.45
08/05/2013,21.45,21.87,21.34,21.86,98633268,21.86
09/05/2013,21.79,22.01,21.73,21.81,87935976,21.81
10/05/2013,21.9,22.04,21.83,22.03,75832092,22.03
13/05/2013,21.99,22.08,21.86,21.96,57882060,21.96
14/05/2013,21.96,22.24,21.95,22.2,63108828,22.2
15/05/2013,22.41,22.93,22.37,22.92,159276564,22.92
16/05/2013,23,23.02,22.57,22.62,128255616,22.62
17/05/2013,22.77,22.86,22.54,22.75,111568320,22.75
20/05/2013,22.65,23.04,22.65,22.74,90817092,22.74
21/05/2013,22.72,22.81,22.46,22.7,79240680,22.7
22/05/2013,22.59,22.76,22.19,22.26,102321576,22.26
23/05/2013,21.95,22.27,21.87,22.09,90912996,22.09
24/05/2013,21.9,21.99,21.8,21.85,91780128,21.85
28/05/2013,22.11,22.33,22.03,22.05,90209700,22.05
29/05/2013,21.91,21.97,21.63,21.73,80455464,21.73
30/05/2013,21.77,21.99,21.68,21.79,84743172,21.79
31/05/2013,21.72,21.95,21.71,21.8,78697224,21.8
03/06/2013,21.85,21.87,21.4,21.71,98928972,21.71
04/06/2013,21.72,21.79,21.37,21.5,74669256,21.5
05/06/2013,21.58,21.76,21.45,21.51,84187728,21.51
06/06/2013,21.63,21.68,21.2,21.64,103060836,21.64
07/06/2013,21.78,22.02,21.65,22.02,106877016,22.02
10/06/2013,22.07,22.3,22.02,22.28,93418488,22.28
11/06/2013,22.12,22.2,22.01,22.02,70233696,22.02
12/06/2013,22.16,22.17,21.76,21.82,88103808,21.82
13/06/2013,21.75,22.01,21.66,21.95,82713204,21.95
14/06/2013,22.02,22.14,21.88,21.9,89710200,21.9
17/06/2013,22,22.26,21.98,22.18,85766148,22.18
18/06/2013,22.24,22.55,22.23,22.54,86589324,22.54
19/06/2013,22.56,22.79,22.46,22.54,116519364,22.54
20/06/2013,22.37,22.55,22.1,22.14,134745120,22.14
21/06/2013,22.23,22.27,21.85,22.05,159132708,22.05
24/06/2013,21.82,21.93,21.6,21.77,120555324,21.77
25/06/2013,21.95,22.01,21.63,21.68,102025872,21.68
26/06/2013,21.87,21.97,21.79,21.86,73182744,21.86
27/06/2013,21.99,22.14,21.94,21.95,76982940,21.95
28/06/2013,21.89,22.07,21.88,22.03,93878028,22.03
01/07/2013,22.18,22.32,22.15,22.22,68923008,22.22
02/07/2013,22.28,22.3,21.95,22.08,75584340,22.08
03/07/2013,22.02,22.25,21.98,22.18,41838120,22.18
05/07/2013,22.27,22.41,22.21,22.36,68007924,22.36
08/07/2013,22.5,22.68,22.45,22.65,78701220,22.65
09/07/2013,22.8,22.85,22.47,22.65,79096824,22.65
10/07/2013,22.61,22.8,22.53,22.67,68267664,22.67
11/07/2013,22.85,23.04,22.74,23.03,103264632,23.03
12/07/2013,23.02,23.1,22.9,23.1,102625272,23.1
15/07/2013,23.13,23.22,22.93,23.14,78341580,23.14
16/07/2013,23.2,23.22,22.87,23.01,79240680,23.01
17/07/2013,23.05,23.19,22.93,22.99,60183756,22.99
18/07/2013,23,23.02,22.6,22.79,145234620,22.79
19/07/2013,22.19,22.6,21.91,22.44,294077628,22.44
22/07/2013,22.57,22.84,22.45,22.79,116011872,22.79
23/07/2013,22.79,22.85,22.51,22.62,81746172,22.62
24/07/2013,22.7,22.78,22.54,22.6,83056860,22.6
25/07/2013,22.37,22.44,22.17,22.21,119923956,22.21
26/07/2013,22.2,22.27,22.07,22.16,71036892,22.16
29/07/2013,22.14,22.39,22.04,22.08,75600324,22.08
30/07/2013,22.16,22.41,22.04,22.3,70153776,22.3
31/07/2013,22.35,22.44,22.18,22.22,86853060,22.22
01/08/2013,22.4,22.64,22.4,22.63,85450464,22.63
02/08/2013,22.61,22.7,22.54,22.69,68487444,22.69
05/08/2013,22.66,22.66,22.5,22.65,52335612,22.65
